,case,cc3,country,year,systemic_crisis,exch_usd,domestic_debt_in_default,sovereign_external_debt_default,gdp_weighted_default,inflation_annual_cpi,independence,currency_crises,inflation_crises,banking_crisis
822,63,TUN,Tunisia,1940,0,49.18899999999999,0,0,0.0,22.01300157,0,0,1,no_crisis
823,63,TUN,Tunisia,1941,0,44.937,0,0,0.0,24.58203197,0,0,1,no_crisis
824,63,TUN,Tunisia,1942,0,129.83100000000002,0,0,0.0,24.99631323,0,0,1,no_crisis
825,63,TUN,Tunisia,1943,0,50.0,0,0,0.0,72.10948561,0,0,1,no_crisis
826,63,TUN,Tunisia,1944,0,55.355,0,0,0.0,37.61310666,0,1,1,no_crisis
827,63,TUN,Tunisia,1945,0,55.191,0,0,0.0,13.77833126,0,0,0,no_crisis
828,63,TUN,Tunisia,1946,0,119.3,0,0,0.0,49.61253886,0,1,1,no_crisis
829,63,TUN,Tunisia,1947,0,119.3,0,0,0.0,67.09975712,0,0,1,no_crisis
830,63,TUN,Tunisia,1948,0,119.3,0,0,0.0,69.14172635,0,0,1,no_crisis
831,63,TUN,Tunisia,1949,0,214.34,0,0,0.0,4.1569601910000005,0,1,0,no_crisis
832,63,TUN,Tunisia,1950,0,349.5,0,0,0.0,3.502982107,0,1,0,no_crisis
833,63,TUN,Tunisia,1951,0,349.5,0,0,0.0,15.03591871,0,0,0,no_crisis
834,63,TUN,Tunisia,1952,0,349.5,0,0,0.0,7.006177993,0,0,0,no_crisis
835,63,TUN,Tunisia,1953,0,349.5,0,0,0.0,-0.595293824,0,0,0,no_crisis
836,63,TUN,Tunisia,1954,0,349.5,0,0,0.0,4.192011553,0,0,0,no_crisis
837,63,TUN,Tunisia,1955,0,349.5,0,0,0.0,0.0,0,0,0,no_crisis
838,63,TUN,Tunisia,1956,0,349.5,0,1,0.06,4.807532957,1,0,0,no_crisis
839,63,TUN,Tunisia,1957,0,350.0,0,0,0.0,5.504844321,1,0,0,no_crisis
840,63,TUN,Tunisia,1958,0,0.4197,0,1,0.06,5.216941093,1,2,0,no_crisis
841,63,TUN,Tunisia,1959,0,0.42,0,0,0.0,-8.264216667000001,1,0,0,no_crisis
842,63,TUN,Tunisia,1960,0,0.42,0,0,0.0,1.8018844619999999,1,0,0,no_crisis
843,63,TUN,Tunisia,1961,0,0.42,0,0,0.0,-1.769991264,1,0,0,no_crisis
844,63,TUN,Tunisia,1962,0,0.42,0,0,0.0,5.78395737,1,0,0,no_crisis
845,63,TUN,Tunisia,1963,0,0.42,0,1,0.06,0.970776621,1,0,0,no_crisis
846,63,TUN,Tunisia,1964,0,0.42,0,0,0.0,5.939573493999999,1,0,0,no_crisis
847,63,TUN,Tunisia,1965,0,0.52,0,0,0.0,5.549985502,1,1,0,no_crisis
848,63,TUN,Tunisia,1966,0,0.52,0,0,0.0,4.5361020739999995,1,0,0,no_crisis
849,63,TUN,Tunisia,1967,0,0.52,0,0,0.0,2.843700217,1,0,0,no_crisis
850,63,TUN,Tunisia,1968,0,0.52,0,0,0.0,2.498763969,1,0,0,no_crisis
851,63,TUN,Tunisia,1969,0,0.52,0,0,0.0,2.804694188,1,0,0,no_crisis
852,63,TUN,Tunisia,1970,0,0.52,0,0,0.0,1.562639485,1,0,0,no_crisis
853,63,TUN,Tunisia,1971,0,0.48,0,0,0.0,4.253194018,1,0,0,no_crisis
854,63,TUN,Tunisia,1972,0,0.475,0,0,0.0,2.715966924,1,0,0,no_crisis
855,63,TUN,Tunisia,1973,0,0.3865,0,0,0.0,5.784875818,1,0,0,no_crisis
856,63,TUN,Tunisia,1974,0,0.425,0,0,0.0,4.685641394,1,1,0,no_crisis
857,63,TUN,Tunisia,1975,0,0.4712,0,0,0.0,10.05684308,1,0,0,no_crisis
858,63,TUN,Tunisia,1976,0,0.5587,0,0,0.0,3.293128476,1,0,0,no_crisis
859,63,TUN,Tunisia,1977,0,0.4275,0,0,0.0,8.19487405,1,0,0,no_crisis
860,63,TUN,Tunisia,1978,0,0.46,0,0,0.0,4.63026082,1,1,0,no_crisis
861,63,TUN,Tunisia,1979,0,0.405,0,1,0.06,8.557119849,1,0,0,no_crisis
862,63,TUN,Tunisia,1980,0,0.418699999,0,1,0.06,10.011000000000001,1,0,0,no_crisis
863,63,TUN,Tunisia,1981,0,0.515649999,0,1,0.06,8.902999999999999,1,0,0,no_crisis
